,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,fare_naira
0,0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False,14500.0
1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,142566.6
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,15850.0
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,106200.0
4,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,16100.000000000002
5,0,3,male,,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True,16916.6
6,0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,103725.0
7,0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,42150.0
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False,22266.600000000002
9,1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False,60141.6
10,1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,33400.0
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,53100.0
12,0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,16100.000000000002
13,0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False,62550.0
14,0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True,15708.4
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True,32000.0
16,0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,58250.0
17,1,2,male,,0,0,13.0,S,Second,man,True,,Southampton,yes,True,26000.0
18,0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False,36000.0
19,1,3,female,,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True,14450.0
20,0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,52000.0
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,26000.0
22,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True,16058.4
23,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,71000.0
24,0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,42150.0
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False,62775.0
26,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,14450.0
27,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,526000.0
28,1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,15758.4
29,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,15791.6
30,0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,55441.6
31,1,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,293041.60000000003
32,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,15500.0
33,0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,21000.0
34,0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False,164341.6
35,0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False,104000.0
36,1,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True,14458.4
37,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,16100.000000000002
38,0,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False,36000.0
39,1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,22483.399999999998
40,0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False,18950.0
41,0,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False,42000.0
42,0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,15791.6
43,1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False,83158.4
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,15758.4
45,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,16100.000000000002
46,0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False,31000.0
47,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,15500.0
48,0,3,male,,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False,43358.4
49,0,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False,35600.0
50,0,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,79375.0
51,0,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True,15600.0
52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,153458.40000000002
53,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,52000.0
54,0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,123958.4
55,1,1,male,,0,0,35.5,S,First,man,True,C,Southampton,yes,True,71000.0
56,1,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,21000.0
57,0,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,14458.4
58,1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False,55500.0
59,0,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,93800.0
60,0,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,14458.4
61,1,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True,160000.0
62,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,166950.0
63,0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,55800.0
64,0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,55441.6
65,1,3,male,,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False,30491.6
66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,21000.0
67,0,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True,16316.6
68,1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False,15850.0
69,0,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False,17325.0
70,0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,21000.0
71,0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False,93800.0
72,0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True,147000.0
73,0,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False,28908.4
74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,112991.6
75,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,15300.0
76,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,15791.6
77,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,16100.000000000002
78,1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False,58000.0
79,1,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True,24950.0
80,0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True,18000.0
81,1,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,19000.0
82,1,3,female,,0,0,7.7875,Q,Third,woman,False,,Queenstown,yes,True,15575.0
83,0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True,94200.0
84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,21000.0
85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False,31700.0
86,0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False,68750.0
87,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,16100.000000000002
88,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,526000.0
89,0,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,16100.000000000002
90,0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,16100.000000000002
91,0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,15708.4
92,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,122350.0
93,0,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False,41150.0
94,0,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,14500.0
95,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,16100.000000000002
96,0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,69308.40000000001
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,126716.6
98,1,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False,46000.0
99,0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,52000.0
100,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True,15791.6
101,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,15791.6
102,0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,154575.0
103,0,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True,17308.399999999998
104,0,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False,15850.0
105,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,15791.6
106,1,3,female,21.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True,15300.0
107,1,3,male,,0,0,7.775,S,Third,man,True,,Southampton,yes,True,15550.0
108,0,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,15791.6
109,1,3,female,,1,0,24.15,Q,Third,woman,False,,Queenstown,yes,False,48300.0
110,0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,104000.0
111,0,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False,28908.4
112,0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,16100.000000000002
113,0,3,female,20.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False,19650.0
114,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True,28916.6
115,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,15850.0
116,0,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,15500.0
117,0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,42000.0
118,0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,495041.60000000003
119,0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,62550.0
120,0,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False,147000.0
121,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,16100.000000000002
122,0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False,60141.6
123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,26000.0
124,0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,154575.0
125,1,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,22483.399999999998
126,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,15500.0
127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True,14283.4
128,1,3,female,,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,44716.6
129,0,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True,13950.0
130,0,3,male,33.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,15791.6
131,0,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,14100.0
132,0,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False,29000.0
133,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,52000.0
134,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,26000.0
135,0,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True,30091.6
136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,52566.6
137,0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,106200.0
138,0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True,18433.399999999998
139,0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,158400.0
140,0,3,female,,0,2,15.2458,C,Third,woman,False,,Cherbourg,no,False,30491.6
141,1,3,female,22.0,0,0,7.75,S,Third,woman,False,,Southampton,yes,True,15500.0
142,1,3,female,24.0,1,0,15.85,S,Third,woman,False,,Southampton,yes,False,31700.0
143,0,3,male,19.0,0,0,6.75,Q,Third,man,True,,Queenstown,no,True,13500.0
144,0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True,23000.0
145,0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False,73500.0
146,1,3,male,27.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True,15591.6
147,0,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False,68750.0
148,0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,52000.0
149,0,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,26000.0
150,0,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True,25050.0
151,1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,133200.0
152,0,3,male,55.5,0,0,8.05,S,Third,man,True,,Southampton,no,True,16100.000000000002
153,0,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False,29000.0
154,0,3,male,,0,0,7.3125,S,Third,man,True,,Southampton,no,True,14625.0
155,0,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False,122758.4
156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True,15466.6
157,0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,16100.000000000002
158,0,3,male,,0,0,8.6625,S,Third,man,True,,Southampton,no,True,17325.0
159,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,139100.0
160,0,3,male,44.0,0,1,16.1,S,Third,man,True,,Southampton,no,False,32200.000000000004
161,1,2,female,40.0,0,0,15.75,S,Second,woman,False,,Southampton,yes,True,31500.0
162,0,3,male,26.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,15550.0
163,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,17325.0
164,0,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,79375.0
165,1,3,male,9.0,0,2,20.525,S,Third,child,False,,Southampton,yes,False,41050.0
166,1,1,female,,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,110000.0
167,0,3,female,45.0,1,4,27.9,S,Third,woman,False,,Southampton,no,False,55800.0
168,0,1,male,,0,0,25.925,S,First,man,True,,Southampton,no,True,51850.0
169,0,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True,112991.6
170,0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,67000.0
171,0,3,male,4.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,58250.0
172,1,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False,22266.600000000002
173,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,15850.0
174,0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,61391.6
175,0,3,male,18.0,1,1,7.8542,S,Third,man,True,,Southampton,no,False,15708.4
176,0,3,male,,3,1,25.4667,S,Third,man,True,,Southampton,no,False,50933.4
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,57425.0
178,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,26000.0
179,0,3,male,36.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,0.0
180,0,3,female,,8,2,69.55,S,Third,woman,False,,Southampton,no,False,139100.0
181,0,2,male,,0,0,15.05,C,Second,man,True,,Cherbourg,no,True,30100.0
182,0,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False,62775.0
183,1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,78000.0
184,1,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False,44050.0
185,0,1,male,,0,0,50.0,S,First,man,True,A,Southampton,no,True,100000.0
186,1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,31000.0
187,1,1,male,45.0,0,0,26.55,S,First,man,True,,Southampton,yes,True,53100.0
188,0,3,male,40.0,1,1,15.5,Q,Third,man,True,,Queenstown,no,False,31000.0
189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,15791.6
190,1,2,female,32.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,26000.0
191,0,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,26000.0
192,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,,Southampton,yes,False,15708.4
193,1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,52000.0
194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,55441.6
195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,293041.60000000003
196,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,15500.0
197,0,3,male,42.0,0,1,8.4042,S,Third,man,True,,Southampton,no,False,16808.399999999998
198,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,15500.0
199,0,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True,26000.0
200,0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,19000.0
201,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,139100.0
202,0,3,male,34.0,0,0,6.4958,S,Third,man,True,,Southampton,no,True,12991.6
203,0,3,male,45.5,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,14450.0
204,1,3,male,18.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,16100.000000000002
205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,20925.0
206,0,3,male,32.0,1,0,15.85,S,Third,man,True,,Southampton,no,False,31700.0
207,1,3,male,26.0,0,0,18.7875,C,Third,man,True,,Cherbourg,yes,True,37575.0
208,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,15500.0
209,1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,62000.0
210,0,3,male,24.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,14100.0
211,1,2,female,35.0,0,0,21.0,S,Second,woman,False,,Southampton,yes,True,42000.0
212,0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,14500.0
213,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,26000.0
214,0,3,male,,1,0,7.75,Q,Third,man,True,,Queenstown,no,False,15500.0
215,1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,226550.0
216,1,3,female,27.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,15850.0
217,0,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False,54000.0
218,1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,152583.40000000002
219,0,2,male,30.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,21000.0
220,1,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,16100.000000000002
